timestamp,time_elapsed,host_name,event_name,cpu_id,procname,process_details,kernel_details,unique_id
''06:13:02.231127808,0.000000167,synthetic_host,syscall_entry_sync_file_range,3,gnome-shell,"pid = 14323, tid = 14330","ret = 0, uaddr = 194557001040348, uaddr2 = 0",5348437
''06:13:02.232285952,0.000000667,synthetic_host,syscall_entry_sync_file_range,0,curl,"pid = 14345, tid = 14345","ret = 0, arg = 275115444656760",7340150
''06:13:02.229402112,0.000000583,synthetic_host,syscall_exit_futex,1,lttng-consumerd,"pid = 14324, tid = 14324","ret = 0, arg = 275115444656688",13782587
''06:13:02.230876160,0.000000083,synthetic_host,syscall_exit_read,3,curl,"pid = 14323, tid = 14330","fd = 34, cmd = 2148070919, arg = 275115444656752",11806978
''06:13:02.231434496,0.000001875,synthetic_host,syscall_exit_ioctl,3,lttng-consumerd,"pid = 14345, tid = 14345","ret = 2, arg = 50",12505154
''06:13:02.231899648,0.000002208,synthetic_host,syscall_entry_ioctl,0,lttng-consumerd,"pid = 14323, tid = 14330",ret = 0,3432311
''06:13:02.231712,0.000000292,synthetic_host,syscall_exit_ioctl,1,curl,"pid = 14323, tid = 14330","fd = 35, offset = 126976, nbytes = 4096, flags = 2",4720545
''06:13:02.229103872,0.000000209,synthetic_host,syscall_entry_getpid,0,lttng-consumerd,"pid = 11822, tid = 11841","ret = 0, uaddr = 194557001039528, uaddr2 = 0",14071712
''06:13:02.231936768,0.000001750,synthetic_host,syscall_exit_getpid,0,lttng-consumerd,"pid = 14345, tid = 14345","fd = 35, offset = 24576, nbytes = 4096, flags = 2",9220758
''06:13:02.230907648,0.000000333,synthetic_host,syscall_exit_futex,0,elasticsearchm,"pid = 14323, tid = 14330","uaddr = 267960194247448, op = 129, val = 2147483647, utime = 0, uaddr2 = 0, val3 = 0",2827457
''06:13:02.232285952,0.000000208,synthetic_host,syscall_entry_ioctl,3,lttng-consumerd,"pid = 14323, tid = 14330","uaddr = 194557001039528, op = 129, val = 1, utime = 0, uaddr2 = 0, val3 = 3572465336",8746432
''06:13:02.230810880,0.000002375,synthetic_host,syscall_exit_getpid,2,curl,"pid = 14323, tid = 14330","fd = 35, buf = 275115481833472, count = 4096",9366551
''06:13:02.229370368,0.000000250,synthetic_host,syscall_entry_futex,3,lttng-consumerd,"pid = 12061, tid = 12061",fd = 4,14839785
''06:13:02.231246080,0.000006833,synthetic_host,syscall_exit_futex,2,data-loop.0,"pid = 14345, tid = 14345","ret = 0, usockaddr = 281474913772424, usockaddr_len = 281474913772420",12885876
''06:13:02.231739136,0.000011583,synthetic_host,syscall_exit_futex,3,llvmpipe-2,"pid = 3154, tid = 3154","ret = 0, uaddr = 194557001051044, uaddr2 = 0",6136531
''06:13:02.231789312,0.000000791,synthetic_host,syscall_exit_futex,3,lttng-consumerd,"pid = 11822, tid = 11859",ret = 0,14751436
''06:13:02.232285952,0.000000167,synthetic_host,syscall_entry_ioctl,3,curl,"pid = 14323, tid = 14330","POLLIN = 0, POLLPRI = 1, POLLOUT = 1, POLLERR = 0, POLLHUP = 0, padding = 0",2687235
''06:13:02.228321536,0.000000791,synthetic_host,syscall_exit_futex,0,lttng-consumerd,"pid = 14323, tid = 14330","ret = 2, arg = 50",6528068
''06:13:02.228361216,0.000000458,synthetic_host,syscall_exit_rt_sigaction,0,curl,"pid = 3154, tid = 3214","ret = 8, buf = 281458146600240",9956542
''06:13:02.229198336,0.000021207,synthetic_host,syscall_exit_getpid,3,lttng-consumerd,"pid = 11822, tid = 11859",ret = 0,11963538
''06:13:02.228963072,0.000000375,synthetic_host,syscall_entry_ioctl,0,curl,"pid = 14323, tid = 14330","ret = 0, uaddr = 194557001039612, uaddr2 = 0",7093856
''06:13:02.231058688,0.000003416,synthetic_host,syscall_entry_ioctl,3,elasticsearchm,"pid = 14323, tid = 14330","fd = 34, cmd = 2148070923, arg = 275115444656688",11557734
''06:13:02.228405760,0.000010458,synthetic_host,syscall_entry_getsockname,3,lttng-consumerd,"pid = 14323, tid = 14330","epfd = 13, maxevents = 1024, timeout = 0, sigmask = 0x0, sigsetsize = 8",1649738
''06:13:02.231862016,0.000000125,synthetic_host,syscall_exit_fcntl,0,elasticsearchm,"pid = 14323, tid = 14330","ret = 0, fd = 35, offset = 8192, len = 4096, advice = 4",5323295
''06:13:02.229562368,0.000000417,synthetic_host,syscall_entry_ioctl,3,elasticsearchm,"pid = 3154, tid = 3154","fd = 576, count = 65536",11166370
''06:13:02.232174080,0.000006666,synthetic_host,syscall_exit_write,3,elasticsearchm,"pid = 14344, tid = 14344","POLLIN = 1, POLLPRI = 0, POLLOUT = 0, POLLERR = 0, POLLHUP = 0, padding = 0",887361
''06:13:02.231533824,0.000026416,synthetic_host,syscall_entry_ppoll,0,lttng-consumerd,"pid = 14323, tid = 14330","fd = 4, size = 5, flags = 0, addr_len = 0",11361872
''06:13:02.230797824,0.000000125,synthetic_host,syscall_entry_sendto,3,curl,"pid = 14323, tid = 14330","ret = 0, arg = 275115444656688",939481
''06:13:02.231193344,0.000000416,synthetic_host,syscall_entry_write,0,gnome-shell,"pid = 14323, tid = 14330","fd = 35, offset = 77824, nbytes = 4096, flags = 2",6465975
''06:13:02.230949376,0.000000583,synthetic_host,syscall_entry_ioctl,0,lttng-consumerd,"pid = 14345, tid = 14345","fd = 34, cmd = 2148070923, arg = 275115444656688",5441763
''06:13:02.228270592,0.000000125,synthetic_host,syscall_exit_ioctl,3,lttng-consumerd,"pid = 14323, tid = 14330","fd = 35, offset = 122880, len = 4096, advice = 4",5184379
''06:13:02.228599552,0.000002833,synthetic_host,syscall_exit_getpid,3,curl,"pid = 14323, tid = 14330","ret = 0, arg = 275115444656760",15350328
''06:13:02.232285952,0.000012291,synthetic_host,syscall_entry_futex,3,lttng-consumerd,"pid = 14323, tid = 14330","fd = 35, offset = 20480, nbytes = 4096, flags = 7",2577541
''06:13:02.232285952,0.000003125,synthetic_host,syscall_entry_fcntl,2,curl,"pid = 14323, tid = 14330","uaddr = 194557001039896, op = 129, val = 1, utime = 0, uaddr2 = 0, val3 = 3572465704",2294386
''06:13:02.230784256,0.000000208,synthetic_host,syscall_exit_sync_file_range,1,lttng-consumerd,"pid = 3154, tid = 3216","ret = -11, ubuf = 222501009492467, addr = 0, addr_len = 0",1998529
''06:13:02.231136,0.000000292,synthetic_host,syscall_exit_brk,0,lttng-consumerd,"pid = 14323, tid = 14330","ret = 0, arg = 275115481893672",2342476
''06:13:02.231596288,0.000004291,synthetic_host,syscall_entry_getrandom,0,elasticsearchm,"pid = 14323, tid = 14330","ret = 0, fd = 35, offset = 90112, len = 4096, advice = 4",3296818
''06:13:02.228720384,0.000000958,synthetic_host,syscall_entry_fadvise64_64,3,lttng-consumerd,"pid = 14323, tid = 14330",ret = 14344,9248261
''06:13:02.231588096,0.000005958,synthetic_host,syscall_exit_fadvise64_64,3,curl,"pid = 14323, tid = 14330","fd = 35, offset = 118784, nbytes = 4096, flags = 2",14540443
''06:13:02.232019968,0.000000292,synthetic_host,syscall_exit_futex,0,lttng-consumerd,"pid = 14345, tid = 14345","fd = 34, cmd = 2148070923, arg = 275115444656688",4831904
''06:13:02.231596544,0.000000208,synthetic_host,syscall_entry_getpid,2,gnome-shell,"pid = 14324, tid = 14324","ret = 0, fd = 35, offset = 36864, len = 4096, advice = 4",1507060
''06:13:02.231691776,0.000000167,synthetic_host,syscall_exit_brk,0,curl,"pid = 14345, tid = 14345","fd = 35, offset = 0, len = 4096, advice = 4",11766985
''06:13:02.228325376,0.000003292,synthetic_host,syscall_exit_read,2,curl,"pid = 14324, tid = 14324","buf = 222501009261744, count = 48, flags = 0",2894140
''06:13:02.231512832,0.000000958,synthetic_host,syscall_entry_epoll_ctl,2,elasticsearchm,"pid = 14345, tid = 14345","ret = 1, fds_length = 0, overflow = 0, fds = [ ]",16061469
''06:13:02.228341248,0.000000334,synthetic_host,syscall_entry_epoll_pwait,3,lttng-consumerd,"pid = 14323, tid = 14330",ret = 517,7597660
''06:13:02.231314432,0.000000209,synthetic_host,syscall_entry_write,0,lttng-consumerd,"pid = 14323, tid = 14330","ret = 517, buf = 246915522452080",2687579
''06:13:02.231580672,0.000001041,synthetic_host,syscall_entry_futex,2,data-loop.0,"pid = 11822, tid = 11841","ret = 0, fd = 35, offset = 40960, len = 4096, advice = 4",2456705
''06:13:02.229506048,0.000000792,synthetic_host,syscall_exit_futex,3,lttng-consumerd,"pid = 14345, tid = 14345","fd = 4, usockaddr_len = 281474913772420",8721626
''06:13:02.231335680,0.000000625,synthetic_host,syscall_entry_epoll_pwait,3,elasticsearchm,"pid = 3154, tid = 3154","fd = 34, cmd = 2148070923, arg = 275115444656688",12275640
