"timestamp","time_elapsed","host_name","event_name","cpu_id","procname","process_details","kernel_details"
"'12:00:00.100000000","'0.000001234","synthetic-host","syscall_entry_open",1,"nginx","pid = 4567, tid = 4567","filename = 140735903668640, flags = 0, mode = 0644"
"'12:00:00.100001500","'0.000000789","synthetic-host","syscall_exit_open",1,"nginx","pid = 4567, tid = 4567","ret = 3"
"'12:00:00.100002500","'0.000000900","synthetic-host","syscall_entry_read",1,"nginx","pid = 4567, tid = 4567","fd = 3, count = 1024"
"'12:00:00.100003300","'0.000000800","synthetic-host","syscall_exit_read",1,"nginx","pid = 4567, tid = 4567","ret = 512, buf = 140735903668704"
"'12:00:00.100004100","'0.000001200","synthetic-host","syscall_entry_write",2,"systemd","pid = 1001, tid = 1001","fd = 1, buf = 140735903669000, count = 128"
"'12:00:00.100005500","'0.000000500","synthetic-host","syscall_exit_write",2,"systemd","pid = 1001, tid = 1001","ret = 128"
"'12:00:00.100006000","'0.000000600","synthetic-host","syscall_entry_close",2,"systemd","pid = 1001, tid = 1001","fd = 3"
"'12:00:00.100006800","'0.000000400","synthetic-host","syscall_exit_close",2,"systemd","pid = 1001, tid = 1001","ret = 0"
"'12:00:00.100007500","'0.000001100","synthetic-host","syscall_entry_connect",3,"sshd","pid = 7890, tid = 7890","fd = 4, usockaddr = 140735903669200, addrlen = 16"
"'12:00:00.100008700","'0.000000300","synthetic-host","syscall_exit_connect",3,"sshd","pid = 7890, tid = 7890","ret = 0"
"'12:00:00.100009500","'0.000000900","synthetic-host","syscall_entry_accept",3,"sshd","pid = 7890, tid = 7891","fd = 5, upeer_sockaddr = 140735903669360, upeer_addrlen = 16"
"'12:00:00.100010400","'0.000000600","synthetic-host","syscall_exit_accept",3,"sshd","pid = 7890, tid = 7891","ret = 6"
"'12:00:00.100011200","'0.000001000","synthetic-host","syscall_entry_setsockopt",4,"redis-server","pid = 1234, tid = 1234","fd = 6, level = 1, optname = 2, optval = 140735903669500, optlen = 4"
"'12:00:00.100012500","'0.000000700","synthetic-host","syscall_exit_setsockopt",4,"redis-server","pid = 1234, tid = 1234","ret = 0"
"'12:00:00.100013300","'0.000000800","synthetic-host","syscall_entry_getsockopt",4,"redis-server","pid = 1234, tid = 1234","fd = 6, level = 1, optname = 7, optlen = 4"
"'12:00:00.100014100","'0.000000600","synthetic-host","syscall_exit_getsockopt",4,"redis-server","pid = 1234, tid = 1234","ret = 0, optval = 1, optlen = 4"
"'12:00:00.100015000","'0.000001100","synthetic-host","syscall_entry_socket",5,"docker","pid = 2345, tid = 2345","domain = 2, type = 1, protocol = 0"
"'12:00:00.100016200","'0.000000300","synthetic-host","syscall_exit_socket",5,"docker","pid = 2345, tid = 2345","ret = 7"
"'12:00:00.100017000","'0.000000800","synthetic-host","syscall_entry_bind",5,"docker","pid = 2345, tid = 2345","fd = 7, addr = 140735903669700, addrlen = 16"
"'12:00:00.100017800","'0.000000500","synthetic-host","syscall_exit_bind",5,"docker","pid = 2345, tid = 2345","ret = 0"
"'12:00:00.100018500","'0.000000900","synthetic-host","syscall_entry_listen",5,"docker","pid = 2345, tid = 2345","fd = 7, backlog = 128"
