timestamp,time_elapsed,host_name,event_name,cpu_id,procname,process_details,kernel_details
'06:13:02.287212187,5e-07,mendax,syscall_exit_futex,3.0,curl,"pid = 14352, tid = 14352","ret = 0, uaddr = 250143566998308, uaddr2 = 0"
'06:13:02.287221353,9.166e-06,mendax,syscall_entry_futex,3.0,curl,"pid = 14352, tid = 14352","uaddr = 250143568181192, op = 129, val = 2147483647, utime = 0, uaddr2 = 281474076040496, val3 = 3394297152"
'06:13:02.287221562,2.09e-07,mendax,syscall_exit_futex,3.0,curl,"pid = 14352, tid = 14352","ret = 0, uaddr = 250143568181192, uaddr2 = 281474076040496"
'06:13:02.287245061,2.3499e-05,mendax,syscall_entry_openat,3.0,curl,"pid = 14352, tid = 14352","dfd = -100, filename = ""/usr/lib/locale/locale-archive"", flags = 524288, mode = 0"
'06:13:02.287246353,1.292e-06,mendax,syscall_exit_openat,3.0,curl,"pid = 14352, tid = 14352",ret = 3
'06:13:02.287246561,2.08e-07,mendax,syscall_entry_newfstat,3.0,curl,"pid = 14352, tid = 14352",fd = 3
'06:13:02.287246936,3.75e-07,mendax,syscall_exit_newfstat,3.0,curl,"pid = 14352, tid = 14352","ret = 0, statbuf = 250143571646240"
'06:13:02.287247186,2.5e-07,mendax,syscall_entry_mmap,3.0,curl,"pid = 14352, tid = 14352","addr = 0x0, len = 14617984, prot = 1, flags = 2, fd = 3, offset = 0"
'06:13:02.287250103,2.917e-06,mendax,syscall_exit_mmap,3.0,curl,"pid = 14352, tid = 14352",ret = 0xE38114600000
'06:13:02.287252269,2.166e-06,mendax,syscall_entry_close,3.0,curl,"pid = 14352, tid = 14352",fd = 3
'06:13:02.287252436,1.67e-07,mendax,syscall_exit_close,3.0,curl,"pid = 14352, tid = 14352",ret = 0
'06:13:02.287267269,1.4833e-05,mendax,syscall_entry_openat,3.0,curl,"pid = 14352, tid = 14352","dfd = -100, filename = ""/root/.curlrc"", flags = 0, mode = 0"
'06:13:02.287268811,1.542e-06,mendax,syscall_exit_openat,3.0,curl,"pid = 14352, tid = 14352",ret = -2
'06:13:02.287269602,7.91e-07,mendax,syscall_entry_openat,3.0,curl,"pid = 14352, tid = 14352","dfd = -100, filename = ""/root/.config/curlrc"", flags = 0, mode = 0"
'06:13:02.287270477,8.75e-07,mendax,syscall_exit_openat,3.0,curl,"pid = 14352, tid = 14352",ret = -2
'06:13:02.287271935,1.458e-06,mendax,syscall_entry_geteuid,3.0,curl,"pid = 14352, tid = 14352","procname = ""curl"", pid = 14352, tid = 14352"
'06:13:02.287272477,5.42e-07,mendax,syscall_exit_geteuid,3.0,curl,"pid = 14352, tid = 14352",ret = 0
'06:13:02.287278394,5.917e-06,mendax,syscall_entry_socket,3.0,curl,"pid = 14352, tid = 14352","family = 1, type = 526337, protocol = 0"
'06:13:02.287286268,7.874e-06,mendax,syscall_exit_socket,3.0,curl,"pid = 14352, tid = 14352",ret = 3
'06:13:02.287286935,6.67e-07,mendax,syscall_entry_connect,3.0,curl,"pid = 14352, tid = 14352","fd = 3, uservaddr = 281474076040360, addrlen = 110"
'06:13:02.287296476,9.541e-06,mendax,syscall_exit_connect,3.0,curl,"pid = 14352, tid = 14352",ret = -2
'06:13:02.287296726,2.5e-07,mendax,syscall_entry_close,3.0,curl,"pid = 14352, tid = 14352",fd = 3
'06:13:02.287298726,2e-06,mendax,syscall_exit_close,3.0,curl,"pid = 14352, tid = 14352",ret = 0
'06:13:02.287299018,2.92e-07,mendax,syscall_entry_socket,3.0,curl,"pid = 14352, tid = 14352","family = 1, type = 526337, protocol = 0"
'06:13:02.287299935,9.17e-07,mendax,syscall_exit_socket,3.0,curl,"pid = 14352, tid = 14352",ret = 3
'06:13:02.287300101,1.66e-07,mendax,syscall_entry_connect,3.0,curl,"pid = 14352, tid = 14352","fd = 3, uservaddr = 281474076040824, addrlen = 110"
'06:13:02.287301310,1.209e-06,mendax,syscall_exit_connect,3.0,curl,"pid = 14352, tid = 14352",ret = -2
'06:13:02.287301476,1.66e-07,mendax,syscall_entry_close,3.0,curl,"pid = 14352, tid = 14352",fd = 3
'06:13:02.287302060,5.84e-07,mendax,syscall_exit_close,3.0,curl,"pid = 14352, tid = 14352",ret = 0
'06:13:02.287303851,1.791e-06,mendax,syscall_entry_newfstatat,3.0,curl,"pid = 14352, tid = 14352","dfd = -100, filename = ""/etc/nsswitch.conf"", flag = 0"
'06:13:02.287305351,1.5e-06,mendax,syscall_exit_newfstatat,3.0,curl,"pid = 14352, tid = 14352","ret = 0, statbuf = 281474076040576"
